iter	Passed	Remaining
651	28796	15370
652	28851	15331
653	28896	15287
654	28959	15253
655	29003	15209
656	29045	15163
657	29089	15119
658	29129	15072
659	29176	15030
660	29239	14995
661	29286	14953
662	29336	14911
663	29384	14869
664	29429	14825
665	29473	14780
666	29522	14739
667	29565	14694
668	29620	14655
669	29669	14613
670	29721	14573
671	29785	14538
672	29830	14494
673	29877	14451
674	29925	14408
675	29984	14371
676	30027	14326
677	30080	14285
678	30128	14243
679	30175	14200
680	30216	14154
681	30258	14108
682	30315	14070
683	30363	14027
684	30405	13982
685	30450	13938
686	30497	13894
687	30542	13850
688	30584	13805
689	30642	13766
690	30689	13723
691	30738	13681
692	30781	13636
693	30824	13591
694	30865	13545
695	30910	13501
696	30949	13454
697	31031	13426
698	31083	13385
699	31161	13354
700	31207	13311
701	31253	13267
702	31297	13222
703	31340	13177
704	31383	13132
705	31455	13099
706	31507	13057
707	31564	13018
708	31609	12973
709	31652	12928
710	31720	12893
711	31764	12848
712	31802	12801
713	31876	12768
714	31918	12722
715	31962	12677
716	32006	12632
717	32061	12592
718	32105	12547
719	32151	12503
720	32193	12457
721	32237	12412
722	32285	12369
723	32328	12324
724	32373	12279
725	32415	12234
726	32457	12188
727	32500	12143
728	32540	12096
729	32592	12054
730	32634	12009
731	32675	11963
732	32718	11917
733	32759	11871
734	32796	11824
735	32837	11778
736	32876	11731
737	32914	11685
738	32970	11644
739	33010	11598
740	33056	11554
741	33100	11509
742	33169	11473
743	33208	11426
744	33247	11379
745	33288	11334
746	33342	11292
747	33389	11248
748	33430	11202
749	33471	11157
750	33513	11111
751	33564	11069
752	33621	11028
753	33663	10983
754	33715	10940
755	33760	10896
756	33806	10851
757	33853	10808
758	33898	10763
759	33940	10718
760	33983	10673
761	34028	10628
762	34071	10583
763	34119	10539
764	34160	10493
765	34212	10451
766	34253	10405
767	34307	10363
768	34350	10318
769	34392	10273
770	34435	10227
771	34476	10182
772	34518	10136
773	34559	10091
774	34601	10045
775	34651	10002
776	34714	9963
777	34756	9917
778	34797	9871
779	34844	9827
780	34900	9786
781	34944	9741
782	34986	9696
783	35027	9650
784	35069	9605
785	35112	9559
786	35157	9515
787	35215	9474
788	35259	9429
789	35306	9385
790	35351	9340
791	35392	9294
792	35431	9248
793	35472	9203
794	35540	9164
795	35585	9119
796	35626	9074
797	35683	9032
798	35722	8986
799	35764	8941
800	35822	8899
801	35869	8855
802	35909	8809
803	35948	8763
804	35989	8718
805	36037	8674
806	36097	8632
807	36136	8586
808	36188	8543
809	36229	8498
810	36281	8455
811	36322	8409
812	36363	8364
813	36404	8318
814	36448	8273
815	36492	8228
816	36564	8190
817	36609	8145
818	36677	8105
819	36734	8063
820	36794	8022
821	36840	7977
822	36881	7932
823	36922	7886
824	36963	7840
825	37005	7795
826	37048	7750
827	37093	7705
828	37142	7661
829	37182	7615
830	37245	7574
831	37286	7529
832	37325	7483
833	37371	7438
834	37415	7393
835	37493	7355
836	37559	7314
837	37603	7269
838	37650	7224
839	37695	7180
840	37738	7134
841	37780	7089
842	37836	7046
843	37879	7001
844	37922	6956
845	37983	6914
846	38027	6869
847	38067	6823
848	38121	6780
849	38163	6734
850	38223	6692
851	38267	6647
852	38343	6607
853	38406	6565
854	38455	6521
855	38496	6476
856	38541	6431
857	38589	6386
858	38634	6341
859	38686	6297
860	38744	6254
861	38786	6209
862	38833	6164
863	38901	6123
864	38948	6078
865	39018	6037
866	39094	5997
867	39137	5951
868	39180	5906
869	39217	5860
870	39266	5815
871	39306	5769
872	39357	5725
873	39397	5679
874	39448	5635
875	39516	5593
876	39561	5548
877	39613	5504
878	39671	5461
879	39731	5417
880	39774	5372
881	39849	5331
882	39892	5285
883	39941	5241
884	39991	5196
885	40051	5153
886	40094	5107
887	40149	5063
888	40201	5019
889	40247	4974
890	40299	4929
891	40342	4884
892	40398	4840
893	40441	4795
894	40484	4749
895	40530	4704
896	40578	4659
897	40622	4614
898	40678	4570
899	40718	4524
900	40762	4478
901	40815	4434
902	40856	4388
903	40903	4343
904	40948	4298
905	40992	4253
906	41034	4207
907	41075	4161
908	41116	4116
909	41164	4071
910	41206	4025
911	41270	3982
912	41312	3936
913	41357	3891
914	41403	3846
915	41446	3800
916	41491	3755
917	41547	3711
918	41600	3666
919	41645	3621
920	41702	3577
921	41741	3531
922	41776	3485
923	41829	3440
924	41868	3394
925	41912	3349
926	41987	3306
927	42032	3261
928	42076	3215
929	42115	3170
930	42156	3124
931	42199	3078
932	42235	3032
933	42277	2987
934	42318	2941
935	42359	2896
936	42402	2850
937	42441	2805
938	42485	2759
939	42533	2714
940	42576	2669
941	42618	2624
942	42711	2581
943	42756	2536
944	42798	2490
945	42840	2445
946	42883	2400
947	42934	2355
948	42976	2309
949	43032	2264
950	43070	2219
951	43111	2173
952	43172	2129
953	43229	2084
954	43286	2039
955	43324	1994
956	43362	1948
957	43401	1902
958	43441	1857
959	43484	1811
960	43526	1766
961	43570	1721
962	43613	1675
963	43671	1630
964	43716	1585
965	43770	1540
966	43818	1495
967	43857	1449
968	43898	1404
969	43972	1359
970	44028	1314
971	44070	1269
972	44113	1224
973	44153	1178
974	44201	1133
975	44246	1088
976	44288	1042
977	44331	997
978	44386	952
979	44434	906
980	44477	861
981	44519	816
982	44561	770
983	44602	725
984	44647	679
985	44690	634
986	44751	589
987	44794	544
988	44845	498
989	44891	453
990	44935	408
991	44978	362
992	45021	317
993	45066	272
994	45108	226
995	45154	181
996	45196	135
997	45245	90
998	45301	45
999	45340	0
